18:1 ||  출근 출석 프로그램 시작
18:1 ||  로그인 성공
18:1 ||  퇴근 ~!! 고생하셨습니다.
18:1 ||  프로그램이 종료됬습니다.
18:3 ||  출근 출석 프로그램 시작
18:3 ||  로그인 성공
18:3 ||  퇴근 ~!! 고생하셨습니다.
18:3 ||  프로그램이 종료됬습니다.
18:6 ||  출근 출석 프로그램 시작
18:6 ||  로그인 성공
18:6 ||  퇴근 ~!! 고생하셨습니다.
18:6 ||  프로그램이 종료됬습니다.
18:7 ||  출근 출석 프로그램 시작
18:7 ||  로그인 성공
18:7 ||  퇴근 ~!! 고생하셨습니다.
18:7 ||  프로그램이 종료됬습니다.
18:9 ||  출근 출석 프로그램 시작
18:9 ||  로그인 성공
18:9 ||  퇴근 ~!! 고생하셨습니다.
18:9 ||  프로그램이 종료됬습니다.
8:26 ||  출근 출석 프로그램 시작
8:26 ||  로그인 성공
8:26 ||  출근 도장 꽝꽝
8:26 ||  프로그램이 종료됬습니다.
18:4 ||  출근 출석 프로그램 시작
18:4 ||  로그인 성공
18:4 ||  퇴근 ~!! 고생하셨습니다.
18:4 ||  프로그램이 종료됬습니다.
8:27 ||  출근 출석 프로그램 시작
8:27 ||  로그인 성공
8:27 ||  출근 도장 꽝꽝
8:27 ||  프로그램이 종료됬습니다.
8:28 ||  출근 출석 프로그램 시작
8:28 ||  로그인 성공
8:28 ||  출근 도장 꽝꽝
8:28 ||  프로그램이 종료됬습니다.
16:5 ||  출근 출석 프로그램 시작
16:5 ||  출첵 시간이 아니라서 종료 됩니다.
16:5 ||  프로그램이 종료됬습니다.
16:6 ||  출근 출석 프로그램 시작
16:6 ||  출첵 시간이 아니라서 종료 됩니다.
16:6 ||  프로그램이 종료됬습니다.
16:7 ||  출근 출석 프로그램 시작
16:7 ||  출첵 시간이 아니라서 종료 됩니다.
16:7 ||  프로그램이 종료됬습니다.
18:1 ||  출근 출석 프로그램 시작
18:1 ||  로그인 실패
18:1 ||  프로그램이 종료됬습니다.
18:12 ||  출근 출석 프로그램 시작
18:12 ||  로그인 실패
18:12 ||  프로그램이 종료됬습니다.
8:26 ||  출근 출석 프로그램 시작
8:26 ||  로그인 실패
8:26 ||  프로그램이 종료됬습니다.
