key,value
1,2019-06-14 18:29:32.834
2,2019-06-14 18:29:32.859
3,2019-06-14 18:29:32.859
4,2019-06-14 18:29:32.860
5,2019-06-14 18:29:32.860
6,2019-06-14 18:29:32.861
7,2019-06-14 18:29:32.861
8,2019-06-14 18:29:32.861
9,2019-06-14 18:29:32.861
10,2019-06-14 18:29:32.862
1,2019-06-14 18:29:32.834
2,2019-06-14 18:29:32.859
3,2019-06-14 18:29:32.859
4,2019-06-14 18:29:32.860
5,2019-06-14 18:29:32.860
6,2019-06-14 18:29:32.861
7,2019-06-14 18:29:32.861
8,2019-06-14 18:29:32.861
9,2019-06-14 18:29:32.861
10,2019-06-14 18:29:32.862
1,2019-06-14 18:29:32.834
2,2019-06-14 18:29:32.859
3,2019-06-14 18:29:32.859
4,2019-06-14 18:29:32.860
5,2019-06-14 18:29:32.860
6,2019-06-14 18:29:32.861
7,2019-06-14 18:29:32.861
8,2019-06-14 18:29:32.861
9,2019-06-14 18:29:32.861
10,2019-06-14 18:29:32.862
1,2019-06-14 18:29:32.834
2,2019-06-14 18:29:32.859
3,2019-06-14 18:29:32.859
4,2019-06-14 18:29:32.860
5,2019-06-14 18:29:32.860
6,2019-06-14 18:29:32.861
7,2019-06-14 18:29:32.861
8,2019-06-14 18:29:32.861
9,2019-06-14 18:29:32.861
10,2019-06-14 18:29:32.862
1,2019-06-14 18:29:32.834
2,2019-06-14 18:29:32.859
3,2019-06-14 18:29:32.859
4,2019-06-14 18:29:32.860
5,2019-06-14 18:29:32.860
6,2019-06-14 18:29:32.861
7,2019-06-14 18:29:32.861
8,2019-06-14 18:29:32.861
9,2019-06-14 18:29:32.861
10,2019-06-14 18:29:32.862
