openapi_history_id,openapi_master_id,execute_time,total_count,s_count,f_count,created,load_dtm,execute_date
2,1,1247,1029,0,1029,2019-04-19 12:47:01,2019-06-27 19:24:13.88,20190419
3,1,1248,1029,0,1029,2019-04-19 12:48:03,2019-06-27 19:24:13.882,20190419
4,1,1249,1029,0,1029,2019-04-19 12:49:04,2019-06-27 19:24:13.884,20190419
5,1,1250,1029,0,1029,2019-04-19 12:50:05,2019-06-27 19:24:13.885,20190419
6,1,1251,1029,0,1029,2019-04-19 12:51:05,2019-06-27 19:24:13.886,20190419
7,1,1252,1029,0,1029,2019-04-19 12:52:03,2019-06-27 19:24:13.886,20190419
8,1,1253,1029,0,1029,2019-04-19 12:53:05,2019-06-27 19:24:13.887,20190419
9,1,1255,1029,0,1029,2019-04-19 12:55:01,2019-06-27 19:24:13.888,20190419
10,1,1256,1029,0,1029,2019-04-19 12:56:00,2019-06-27 19:24:13.889,20190419
11,1,1257,1029,0,1029,2019-04-19 12:57:03,2019-06-27 19:24:13.89,20190419
12,1,1258,1029,0,1029,2019-04-19 12:58:05,2019-06-27 19:24:13.891,20190419
13,1,1259,1029,0,1029,2019-04-19 12:59:04,2019-06-27 19:24:13.892,20190419
14,1,1300,1029,0,1029,2019-04-19 13:00:04,2019-06-27 19:24:13.893,20190419
15,1,1301,1029,0,1029,2019-04-19 13:01:04,2019-06-27 19:24:13.894,20190419
16,1,1302,1029,0,1029,2019-04-19 13:02:04,2019-06-27 19:24:13.895,20190419
18,1,1304,1029,0,1029,2019-04-19 13:04:00,2019-06-27 19:24:13.895,20190419
19,1,1306,1029,0,1029,2019-04-19 13:06:03,2019-06-27 19:24:13.896,20190419
20,1,1307,1029,0,1029,2019-04-19 13:07:04,2019-06-27 19:24:13.897,20190419
21,1,1308,1029,0,1029,2019-04-19 13:08:03,2019-06-27 19:24:13.897,20190419
22,1,1314,1029,0,1029,2019-04-19 13:14:25,2019-06-27 19:24:13.898,20190419
23,1,1317,1029,1029,0,2019-04-19 13:17:39,2019-06-27 19:24:13.899,20190419
24,1,1320,1029,1029,0,2019-04-19 13:20:34,2019-06-27 19:24:13.899,20190419
25,1,1322,1029,1029,0,2019-04-19 13:22:32,2019-06-27 19:24:13.9,20190419
