tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCIOT920241,10,213610,4,3,3,1,154,84,22.0
SCCBS270311,11,212830,15,12,12,3,3236,962,119.8518518518518
SCBCN100210,10,214040,12,12,12,0,2002916,1001329,83454.83333333333
SCACT445861,9,214840,14,14,14,0,89575,56732,3199.107142857143
SMAERP14610,14,213900,2,3,3,0,4871628,4871583,974325.6
SPRWMD7001H,10,214750,6,6,6,0,5406,5246,450.5
SCRAP501000,11,214120,12,12,12,0,1982,747,82.58333333333333
SCACT410034,13,213450,12,12,12,0,6237,3021,259.875
SCSOS620141,13,212240,6,6,6,0,16156,15919,1346.333333333333
SCRAP207530,11,211600,12,12,12,0,2020,920,84.16666666666667
SCRAP300530,10,215110,12,12,12,0,1969,762,82.04166666666667
SCPSI72423A,12,213740,6,6,6,0,13062,12935,1088.5
SVTBBT7904A,12,211450,6,6,6,0,5001,4844,416.75
SCSOS630291,11,214120,60,60,60,0,287753,227026,2397.941666666667
SCSOS630531,12,210100,162,162,162,0,1975807,632957,6098.169753086419
SCACT410034,11,213720,6,6,6,0,3000,2867,250.0
SPRWMD7001H,14,210250,6,6,6,0,4761,4595,396.75
SCSOS630291,16,210750,8,8,8,0,184,33,11.5
SCCBS270044,10,212230,18,18,18,0,34669,14229,963.0277777777778
SCIOT930581,10,215000,18,15,18,3,523114,329597,15374.72222222222
STHITCOM009,14,211240,6,6,6,0,7423,6785,618.5833333333334
SCRAP100500,12,210010,18,18,18,0,6586,2054,182.9444444444445
SCRAP200530,11,213550,12,12,12,0,1910,766,79.58333333333333
SCRAP501000,16,210750,12,12,12,0,1944,755,81.0
SCIOT980291,10,213510,20,18,20,2,59235,26701,1719.925
SCACT450262,11,213020,30,30,30,0,68098,38325,1134.966666666667
SCACT442401,15,212440,100,83,100,17,19310,16802,1108.315
SCSOS610031,11,214140,18,16,18,2,13058,9432,843.9444444444445
SPRATD54021,12,213740,18,18,18,0,69848,23810,1940.222222222222
SMFACR1322A,12,212840,6,6,6,0,34597,34423,2883.083333333333
SCIOT960011,11,212020,6,6,6,0,378862,378560,31571.83333333333
SPRTPQ27192,12,213630,16,16,16,0,25830,14175,807.1875
STTBXU6542A,11,212520,2,3,3,0,4070363,4069866,814072.6
SUCRM101002,11,212830,40,40,40,0,15485,2087,193.5625
SCIOT931001,11,212930,189,168,186,21,6388287,714803,17341.68
SUCRM101002,15,213240,30,30,30,0,13549,2374,225.8166666666667
BBL001FDS01,11,211320,11,11,11,0,0,0,0.0
SCRITF25051,15,213050,6,6,6,0,2963,2721,246.9166666666667
SCBCN159020,13,212310,6,6,6,0,2200,2000,183.3333333333333
SCRAP200630,11,212120,18,18,18,0,4039,1181,112.1944444444444
SCACT410321,15,213400,157,156,157,1,257453,32238,821.8216560509554
SCACT442071,12,212040,30,30,30,0,65392,28798,1089.866666666667
SCPSO755791,9,215440,7,6,7,1,23375,23233,2067.142857142857
SCRAP300530,11,210420,18,18,18,0,2994,743,83.16666666666667
SCIAO512010,9,214800,6,6,6,0,10263,10095,855.25
SCIOT931001,11,213030,181,150,180,31,6261995,596933,17959.39335180055
SUCRM500024,12,213330,10,10,10,0,49815,26225,2490.75
SCACT450272,13,212240,15,12,15,3,100636,56737,4027.733333333333
SCACT442071,11,212330,24,24,24,0,83379,34187,1737.0625
SCACT442221,15,212440,4,4,4,0,12364,7835,1545.5
SCSOS630531,14,211240,154,153,153,1,2220284,1936632,7232.195439739414
SCACT410141,13,212300,12,12,12,0,85037,74350,3543.208333333333
SCPSO755381,11,215240,12,12,12,0,26717,13457,1113.208333333333
SCCBS275001,11,213030,6,6,6,0,744,555,62.0
SCBCN580104,12,210510,243,243,243,0,2140971,914084,4405.29012345679
SCIOT931031,11,212330,86,59,84,27,1471147,319682,17953.09411764706
SCCBS215051,14,212350,18,18,18,0,2059,580,57.19444444444444
SCSOS631221,13,213440,6,6,6,0,159570,159375,13297.5
SCBCN581011,15,213400,12,12,12,0,33968,16983,1415.333333333333
SCSOS643471,12,212840,54,54,54,0,106975,38731,990.5092592592592
SPPFMDF0002,15,214640,48,48,48,0,577156,142945,6012.041666666667
SUCUSC0009S,15,212440,92,92,92,0,323878,51501,1760.20652173913
SPPFMDFEXEC,10,212610,188,188,188,0,62396,12644,165.9468085106383
SCBCN581011,14,213900,30,27,30,3,1478183,1400969,24998.23333333333
SCACT445511,9,210000,20,18,20,2,1939027,1923918,96559.0
SCRAP100500,11,214120,18,18,18,0,6133,1911,170.3611111111111
