tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCIOT930021,7,004050,69,59,68,10,1095694,140921,8526.56204379562
SCCBS260231,7,005950,7,6,7,1,12698,8582,1133.571428571429
SCIOT920241,7,002520,6,6,6,0,148288,141985,12357.33333333333
SCCBS215051,8,002320,6,6,6,0,9787,5442,815.5833333333334
SCRAP100500,8,005550,12,12,12,0,19340,6062,805.8333333333334
SCIOT930021,7,004320,34,32,34,2,820018,91574,12256.79411764706
SCIOT930061,7,005940,62,54,62,8,658956,131810,5768.782258064516
SCRAP207530,6,000530,12,12,12,0,1870,774,77.91666666666667
SCIOT930021,7,005950,48,42,48,6,593690,137494,6683.708333333333
SCIOT930581,6,000630,11,10,11,1,252177,168333,11835.13636363636
SCIAO540091,7,002240,3,3,3,0,6540,6505,1090.0
SPPFMDF0002,7,001440,48,48,48,0,561423,105430,5848.15625
SCRAP200630,7,002220,18,18,18,0,30554,5668,848.7222222222222
SCCBS270044,7,003100,2,2,2,0,31511,17550,7877.75
SCIOT931041,7,003050,48,48,48,0,136652,20562,1423.458333333333
SCSOS620181,7,002500,54,52,54,2,332124,48829,3168.138888888889
SCRAP400600,6,001000,18,18,18,0,11844,3799,329.0
SCBCN100210,7,001500,18,18,18,0,24664,5070,685.1111111111111
SCIOT931041,7,003320,44,44,44,0,173240,28771,1968.636363636364
SCACT441511,7,003720,18,18,18,0,55095,12274,1530.416666666667
SCRAP400600,7,001930,12,12,12,0,27645,8179,1151.875
SCACT450262,7,003050,20,20,20,0,124329,41256,3108.225
SCACT445532,7,005750,64,64,64,0,141307,14654,1103.9609375
SCSOS644131,5,005510,15,16,16,0,39696,8106,1280.516129032258
SCACT442401,7,002740,48,39,48,9,49463,6781,1245.322916666667
SCACT410321,7,002440,79,78,79,1,226856,12873,1476.930379746835
SCACT430601,7,003050,6,6,6,0,42334,34362,3527.833333333333
SCPDI345111,7,003050,2,2,2,0,381787,378773,95446.75
SCFOS670061,7,003910,12,12,12,0,35941,13769,1497.541666666667
SCACT445532,6,000820,70,70,70,0,26508,1826,189.3428571428572
BPPFMCCEXEC,7,005530,723,361,361,362,1242897,19462,1146.583948339483
SCSOS644111,7,004440,3,3,3,0,6244,6200,1040.666666666667
SUCUS00124S,7,004930,8,8,8,0,12201,7434,762.5625
SCIOT980691,7,003130,127,123,126,4,2099494,254573,8403.822134387352
SCBCN100200,7,005810,12,12,12,0,15318,5391,638.25
SCRAP207530,7,001500,18,18,18,0,38717,8512,1075.472222222222
SCBCN421060,7,002450,9,9,9,0,190268,159433,10570.44444444445
SCACT441631,8,003630,6,5,6,1,3001,2897,606.6666666666666
SCSOS631191,7,003050,6,6,6,0,7488,3899,624.0
SCBCN100200,5,005510,12,12,12,0,16753,5362,698.0416666666666
SCIOT980691,7,002530,123,118,123,5,1853622,243475,7697.089430894309
SCSOS644131,4,000410,42,42,42,0,14518,2352,172.8333333333333
SCRAP400600,7,005130,12,12,12,0,28761,8763,1198.375
SCSOS612111,7,003710,14,14,14,0,34504,8363,1232.285714285714
SCACT447591,7,003320,6,6,6,0,61313,54805,5109.416666666667
SCSOS301045,9,002810,29375,29797,29797,0,497604460,5918099,8409.45818968431
SCRAP720110,7,003320,11,9,11,2,32896,23295,1782.272727272727
SCBCN100210,8,000830,12,12,12,0,1543,642,64.29166666666667
SCRAP400600,8,001740,18,18,18,0,40570,7747,1126.944444444444
SCSOS620181,7,002240,42,42,42,0,443227,74988,5276.511904761905
SCACT450301,7,003320,12,12,12,0,32238,11811,1343.25
SCSOS644131,7,004110,20,20,20,0,36738,6115,918.45
SCRAP100500,8,001710,12,12,12,0,19312,6680,804.6666666666666
SCACT421331,7,003840,3,3,3,0,4818,4769,803.0
SCACT445861,7,001930,6,6,6,0,17340,14459,1445.0
SCRAP300530,6,001050,12,12,12,0,2010,853,83.75
SCIOT931001,7,002440,52,49,50,3,1896040,471710,18664.80392156863
