global_id,tr_cd_first,tr_cd_count,tr_cd_distinct_count,result_flag_first,result_flag_last,result_flag_count_s,result_flag_count_not_s,event_time_min,event_time_max,global_id_exe_time
pcomap1 00213281043379,SCSOS301045,6,1,S,F,3,3,1528039292696215,1528039292710014,13799
pcomap1 00213256406197,SCSOS301045,4,1,S,F,2,2,1528039292696270,1528039292699058,2788
pcomap1 00213255752817,SCSOS301045,4,1,S,F,2,2,1528039292696369,1528039292699141,2772
pcomap1 00213272131889,SCSOS301045,6,1,S,F,3,3,1528039292698203,1528039292707672,9469
pcomap1 00213277110621,SCSOS301045,4,1,S,F,2,2,1528039292699398,1528039292703047,3649
pcomap1 00213269896187,SCSOS301045,4,1,S,F,2,2,1528039292700534,1528039292703580,3046
pcomap1 00213277766002,SCSOS301045,4,1,S,F,2,2,1528039292700537,1528039292703401,2864
pcomap1 00213279077573,SCSOS301045,4,1,S,F,2,2,1528039292700550,1528039292709905,9355
pcomap1 00213270551983,SCSOS301045,4,1,S,F,2,2,1528039292700571,1528039292704992,4421
pcomap1 00213255752818,SCSOS301045,4,1,S,F,2,2,1528039292702564,1528039292706433,3869
pcomap1 00213256406198,SCSOS301045,4,1,S,F,2,2,1528039292702576,1528039292706015,3439
pcomap1 00213277110622,SCSOS301045,10,1,S,F,5,5,1528039292706101,1528039292986530,280429
pcomap1 00213270551984,SCSOS301045,4,1,S,F,2,2,1528039292707686,1528039292710792,3106
pcomap1 00213277766003,SCSOS301045,4,1,S,F,2,2,1528039292707689,1528039292711019,3330
pcomap1 00213269896188,SCSOS301045,4,1,S,F,2,2,1528039292707713,1528039292710637,2924
pcomap1 00213255752819,SCSOS301045,4,1,S,F,2,2,1528039292709700,1528039292712729,3029
pcomap1 00213256406199,SCSOS301045,4,1,S,F,2,2,1528039292709729,1528039292712767,3038
P010984604300021325739,SCIOT930021,12,1,S,F,6,6,1528039292710278,1528039292758923,48645
pcomap1 00213272131890,SCSOS301045,4,1,S,F,2,2,1528039292711749,1528039292715067,3318
pcomap1 00213281043380,SCSOS301045,4,1,S,F,2,2,1528039292713749,1528039292716386,2637
pcomap1 00213279077574,SCSOS301045,4,1,S,F,2,2,1528039292713750,1528039292716853,3103
pcomap1 00213270551985,SCSOS301045,6,1,S,F,3,3,1528039292713756,1528039292726460,12704
pcomap1 00213269896189,SCSOS301045,4,1,S,F,2,2,1528039292713760,1528039292716748,2988
pcomap1 00213277766004,SCSOS301045,4,1,S,F,2,2,1528039292713808,1528039292716709,2901
