cnnc_manage_no,db_table_id,table_eng_nm,table_korean_nm,table_dc,br_dc,hashtag_cn,mngr_nm,where_info_nm,ins_num_mappers,ins_split_by_col,apd_where,apd_chk_col,apd_last_val,hive_table_nm,anal_pruse_trget_at,bigdata_gtrn_at,schdul_applc_at,gthnldn_mth_code,gthnldn_mth_nm,regist_de,regist_empl_no,updt_de,updt_empl_no
"CNNC_MANAGE_NO","DB_TABLE_ID","TABLE_ENG_NM","TABLE_KOREAN_NM","TABLE_DC","BR_DC","HASHTAG_CN","MNGR_NM","WHERE_INFO_NM","INS_NUM_MAPPERS","INS_SPLIT_BY_COL","APD_WHERE","APD_CHK_COL","APD_LAST_VAL","HIVE_TABLE_NM","ANAL_PRUSE_TRGET_AT","BIGDATA_GTRN_AT","SCHDUL_APPLC_AT","GTHNLDN_MTH_CODE","GTHNLDN_MTH_NM","REGIST_DE","REGIST_EMPL_NO","UPDT_DE","UPDT_EMPL_NO"
"A001","ext_opendata_tb_odl_0001","tb_odl_0001","공공데이터포털목록","공공데이터포털에서 제공중인 목록을 제공한다.","","","","","","","","","","tb_odl_0001","","Y","N","09","조회용","20190718","","",""
"A001","ext_opendata_tb_odl_0002","tb_odl_0002","공공데이터포털OPENAPI","공공데이터포털에서 제공중인 OPENAPI를 제공한다.","","","","","","","","","","tb_odl_0002","","Y","N","09","조회용","20190718","","",""
"A001","ext_opendata_tb_odl_0003","tb_odl_0003","공공데이터포털파일데이터","공공데이터포털에서 제공중인 파일데이터를 제공한다.","","","","","","","","","","tb_odl_0003","","Y","N","09","조회용","20190718","","",""
"A002","ext_opendata_tb_eci_0001","tb_eci_0001","ECOS경제지표","경제지표(통계코드)를 설정하여 해당 지표의 값을 조회","","생산자물가지수| 공급물가지수| 수입물가지수 환율정보","","","","","","","","tb_eci_0001","","Y","N","09","조회용","20190718","","",""
"A003","ext_opendata_tb_pmb_0001","tb_pmb_0001","전력시장 입찰량 정보","한전SRM을 통해 진행되는 입찰정보를 조회하는 서비스로 회사구분코드와 조회기준일자를 입력하면 공고번호| 입찰건명| 공고일등의 정보를 출력하여 조회하는 입찰 정보조회 서비스.","","","","","","","","","","tb_pmb_0001","","Y","N","09","조회용","20190718","","",""
"A004","ext_opendata_tb_dsc_0001","tb_dsc_0001","전력수급현황","5분단위 기준 오늘의 전력수급현황 정보를 제공하는 서비스","","","","","","","","","","tb_dsc_0001","","Y","N","09","조회용","20190718","","",""
"A004","ext_opendata_tb_dsc_0002","tb_dsc_0002","전력수급예보","현재 전력수급예보를 조회.","","","","","","","","","","tb_dsc_0002","","Y","N","09","조회용","20190718","","",""
"A004","ext_opendata_tb_smp_0001","tb_smp_0001","계통한계가격","지역코드를 입력하여 1시간단위 계통한계가격 정보를 조회.","","","","","","","","","","tb_smp_0001","","Y","N","09","조회용","20190718","","",""
"A005","ext_opendata_tb_wed_0001","tb_wed_0001","동네예보정보","동네예보 정보를 조회하기 위해 발표일자| 발표시각| 예보지점 X좌표| 예보지점 Y 좌표의 조회 조건으로 발표일자| 발표시각| 자료구분문자| 예보 값| 예보일자| 예보시각| 예보지점 X 좌표| 예보지점 Y 좌표의 정보를 조회하는 기능","","","","","","","","","","tb_wed_0001","","Y","N","09","조회용","20190718","","",""
"A006","ext_opendata_tb_wed_0002","tb_wed_0002","종관기상관측 자료","종관기상관측 장비로 관측한 시간| 일 기상자료를 조회","","","","","","","","","","tb_wed_0002","","Y","N","09","조회용","20190718","","",""
"A007","ext_opendata_tb_aps_0001","tb_aps_0001","대기오염정보","측정소명과 측정데이터 기간(일| 한달| 3개월)으로 해당 측정소의 일반항목 측정정보를 제공하는 측정소별 실시간 측정정보 조회","","","","","","","","","","tb_aps_0001","","Y","N","09","조회용","20190718","","",""
"M001","EPMS_M_EXTNOTICE_MSG","M_EXTNOTICE_MSG","M_EXTNOTICE_MSG","메신저 쪽지 내역","메신저","메신저","","","","","","","","M_EXTNOTICE_MSG","","Y","N","02","재적재","20190425","","",""
