openapi_history_id,openapi_master_id,execute_date,execute_time,total,succeeded,failed,inserted,queried,runtime,yyyymmdd
2,1,20190419,1247,1029,0,1029,2019-04-19 12:47:01,2019-05-04 10:51:00,2019-05-04 10:51:31.29,20190419
3,1,20190419,1248,1029,0,1029,2019-04-19 12:48:03,2019-05-04 10:51:00,2019-05-04 10:51:31.525,20190419
4,1,20190419,1249,1029,0,1029,2019-04-19 12:49:04,2019-05-04 10:51:00,2019-05-04 10:51:31.526,20190419
5,1,20190419,1250,1029,0,1029,2019-04-19 12:50:05,2019-05-04 10:51:00,2019-05-04 10:51:31.528,20190419
6,1,20190419,1251,1029,0,1029,2019-04-19 12:51:05,2019-05-04 10:51:00,2019-05-04 10:51:31.53,20190419
7,1,20190419,1252,1029,0,1029,2019-04-19 12:52:03,2019-05-04 10:51:00,2019-05-04 10:51:31.539,20190419
8,1,20190419,1253,1029,0,1029,2019-04-19 12:53:05,2019-05-04 10:51:00,2019-05-04 10:51:31.541,20190419
9,1,20190419,1255,1029,0,1029,2019-04-19 12:55:01,2019-05-04 10:51:00,2019-05-04 10:51:31.542,20190419
10,1,20190419,1256,1029,0,1029,2019-04-19 12:56:00,2019-05-04 10:51:00,2019-05-04 10:51:31.543,20190419
11,1,20190419,1257,1029,0,1029,2019-04-19 12:57:03,2019-05-04 10:51:00,2019-05-04 10:51:31.544,20190419
12,1,20190419,1258,1029,0,1029,2019-04-19 12:58:05,2019-05-04 10:51:00,2019-05-04 10:51:31.545,20190419
13,1,20190419,1259,1029,0,1029,2019-04-19 12:59:04,2019-05-04 10:51:00,2019-05-04 10:51:31.546,20190419
14,1,20190419,1300,1029,0,1029,2019-04-19 13:00:04,2019-05-04 10:51:00,2019-05-04 10:51:31.547,20190419
15,1,20190419,1301,1029,0,1029,2019-04-19 13:01:04,2019-05-04 10:51:00,2019-05-04 10:51:31.547,20190419
16,1,20190419,1302,1029,0,1029,2019-04-19 13:02:04,2019-05-04 10:51:00,2019-05-04 10:51:31.548,20190419
18,1,20190419,1304,1029,0,1029,2019-04-19 13:04:00,2019-05-04 10:51:00,2019-05-04 10:51:31.55,20190419
19,1,20190419,1306,1029,0,1029,2019-04-19 13:06:03,2019-05-04 10:51:00,2019-05-04 10:51:31.551,20190419
20,1,20190419,1307,1029,0,1029,2019-04-19 13:07:04,2019-05-04 10:51:00,2019-05-04 10:51:31.552,20190419
21,1,20190419,1308,1029,0,1029,2019-04-19 13:08:03,2019-05-04 10:51:00,2019-05-04 10:51:31.553,20190419
22,1,20190419,1314,1029,0,1029,2019-04-19 13:14:25,2019-05-04 10:51:00,2019-05-04 10:51:31.553,20190419
23,1,20190419,1317,1029,1029,0,2019-04-19 13:17:39,2019-05-04 10:51:00,2019-05-04 10:51:31.554,20190419
24,1,20190419,1320,1029,1029,0,2019-04-19 13:20:34,2019-05-04 10:51:00,2019-05-04 10:51:31.555,20190419
25,1,20190419,1322,1029,1029,0,2019-04-19 13:22:32,2019-05-04 10:51:00,2019-05-04 10:51:31.556,20190419
26,1,20190419,1324,1029,1029,0,2019-04-19 13:24:32,2019-05-04 10:51:00,2019-05-04 10:51:31.556,20190419
27,1,20190419,1326,1029,1029,0,2019-04-19 13:26:36,2019-05-04 10:51:00,2019-05-04 10:51:31.557,20190419
