tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCSOS644131,6,042510,6,6,6,0,1707,1502,142.25
SCBCN580100,6,040630,6,6,6,0,6727,6487,560.5833333333334
SPWWMD03069,7,044300,150,150,150,0,1600388,74328,5334.626666666667
SUCUSC0009S,7,045000,5,5,5,0,3521,3384,352.1
SCBCN100200,7,042810,12,12,12,0,2180,927,90.83333333333333
SCACT420591,7,043950,6,6,6,0,86991,86740,7249.25
SCIOT931001,6,041600,8,5,8,3,137386,137094,9969.0
SCSOS620181,6,040030,36,36,36,0,250233,46014,3475.458333333333
SCIOT931031,9,045900,18,12,18,6,412506,293786,23931.58333333333
SCRAP501000,6,042850,18,18,18,0,3215,969,89.30555555555556
SCSOS620181,7,041930,6,6,6,0,35936,35686,2994.666666666667
SCACT441511,6,041850,6,6,6,0,24139,24007,2011.583333333333
SCSOS612111,7,045950,6,6,6,0,3215,2984,267.9166666666667
SCRAP300530,6,042850,18,18,18,0,3154,903,87.61111111111111
SCSOS620161,6,041520,6,5,6,1,205,95,727.0
SCIOT920241,7,045520,2,3,3,0,9660353,9660312,1932070.6
SCBCN100200,7,042120,18,18,18,0,3126,995,86.83333333333333
SCRAP100500,6,042550,12,12,12,0,4138,1880,172.4166666666667
SCRAP101700,7,044250,13,13,13,0,37719,29020,1450.730769230769
SCSOS612121,7,044920,6,6,6,0,1432,1172,119.3333333333333
SCIOT931041,7,045950,6,6,6,0,9825,9551,818.75
SCRAP200630,7,044850,18,18,18,0,4542,1439,126.1666666666667
SCCBS245161,7,042110,12,12,12,0,43531,23401,1813.791666666667
SPPFMHT001S,7,044850,5,5,5,0,435,290,43.5
SPRATD54021,7,044300,6,6,6,0,21235,20629,1769.583333333333
SCCBS215051,6,041850,6,6,6,0,738,572,61.5
SCACT410321,8,045300,10,10,10,0,13443,7958,672.15
SPPFMDFEXEC,7,041010,166,166,166,0,30231,5320,91.05722891566265
