tr_cd,logtime,usr_cnt,global_id_cnt,result_flag_f_cnt,result_flag_r_cnt,exe_time_sum,exe_time_avg
,093310,1,2,2,0,331707,55284.5
BBL001FDS01,035440,1,1,1,0,0,0.0
BBL001FDS01,115030,3,13,13,0,0,0.0
BBL001FDS01,162350,4,9,9,0,0,0.0
BBL001FDS01,183000,1,1,1,0,0,0.0
BBL001FDS01,195530,1,3,3,0,0,0.0
BBL001FDS01,211630,2,5,5,0,0,0.0
BBL001FDS02,082750,1,3,3,0,0,0.0
BBL001FDS02,162340,1,1,1,0,0,0.0
BBL001FDS02,211620,1,1,1,0,0,0.0
BBL001FDS03,115010,1,1,1,0,0,0.0
BBL001FDS03,162330,1,1,1,0,0,0.0
BCRAP500551,100340,1,1,1,0,6605756,49667.338345864664
BCSOS501023,145700,1,1,1,0,8290,318.84615384615387
BPPFMCCEXEC,181830,1,1,1,0,83007,892.5483870967741
BTTBODD0011,231930,1,1,1,0,6273,3136.5
BTTBSPTN001,115200,1,1,1,0,1570,392.5
BTTBSPTN007,141810,1,1,1,0,7456,1864.0
BUCRM00002I,121500,1,1,1,0,13228,6614.0
BpCa211,111410,1,1,1,0,1376,344.0
FDS001FDS01,114510,2,2,2,0,0,0.0
MCACCT00099,133700,3,3,3,0,0,0.0
MCACCT00100,080000,1,2,2,0,0,0.0
MCACCT00100,092530,2,4,4,0,0,0.0
MCACCT00100,104150,1,1,1,0,0,0.0
MCACCT00100,141810,2,2,2,0,0,0.0
MCACCT00100,184650,1,1,1,0,0,0.0
MCACCT00276,131930,1,1,1,0,0,0.0
SCACT400061,161830,1,3,3,0,22537,626.0277777777778
SCACT400151,113610,1,1,1,0,3634,302.8333333333333
SCACT400211,110140,1,1,1,0,18269,1522.4166666666667
SCACT400211,143320,2,2,2,0,4013,167.20833333333334
SCACT400211,155850,1,1,1,0,2858,238.16666666666666
SCACT400341,095610,1,3,3,0,90755,2520.972222222222
SCACT400341,111710,1,5,5,0,178984,3377.056603773585
SCACT400341,142020,1,1,1,0,15208,1267.3333333333333
SCACT400341,154550,1,1,1,0,43145,3595.4166666666665
SCACT400341,203830,1,1,1,0,11288,940.6666666666666
SCACT400361,095410,1,2,2,0,551653,18388.433333333334
SCACT400481,190810,1,1,1,0,21216,1768.0
SCACT400521,152750,1,1,1,0,848,70.66666666666667
SCACT400611,090040,2,2,2,0,16218,675.75
SCACT400611,092910,2,2,2,0,9007,375.2916666666667
SCACT400611,104530,4,4,4,0,18487,385.1458333333333
SCACT400611,151850,2,2,2,0,9453,393.875
SCACT410011,092640,1,1,1,0,32778,2731.5
SCACT410034,092410,1,11,11,0,54607,546.07
SCACT410034,104030,1,5,5,0,58551,975.85
SCACT410034,151350,1,5,5,0,23300,448.0769230769231
SCACT410034,172000,1,5,5,0,23444,450.84615384615387
SCACT410034,184530,1,3,3,0,11331,404.67857142857144
SCACT410034,233810,1,3,3,0,11281,402.89285714285717
SCACT410111,091640,3,7,7,0,267530,3520.1315789473683
SCACT410111,140920,5,5,5,0,404084,7346.981818181818
SCACT410111,171230,1,1,1,0,5881,490.0833333333333
SCACT410141,091340,1,3,3,0,95986,2666.277777777778
SCACT410141,105830,1,3,3,0,68479,2445.6785714285716
SCACT410141,140620,1,3,3,0,87143,2420.6388888888887
SCACT410141,173800,1,3,3,0,92903,3317.964285714286
SCACT410141,220210,1,1,1,0,32147,2678.9166666666665
SCACT410161,091140,1,3,3,1,407189,11310.805555555555
SCACT410171,091040,1,3,3,0,5577,199.17857142857142
SCACT410171,105530,1,1,1,0,1588,397.0
SCACT410171,140320,1,1,1,0,1433,358.25
SCACT410171,173500,1,1,1,0,1310,109.16666666666667
SCACT410181,105430,1,3,3,0,61933,1720.361111111111
SCACT410181,152750,1,1,1,0,1715805,142983.75
SCACT410211,090640,1,1,1,0,272741,19481.5
SCACT410211,135440,1,1,1,1,31586,7896.5
SCACT410212,135430,1,2,2,0,7924,396.2
SCACT410232,104920,1,1,1,0,20267,1688.9166666666667
SCACT410321,011910,1,10,10,0,137083,1458.3297872340424
SCACT410321,042220,1,7,7,0,88279,1261.1285714285714
SCACT410321,054750,1,12,12,1,60204,501.7
