common_cd,detail_cd,detail_nm,ref_val1
fire_area_cd,001,강남,
fire_area_cd,002,강동,
fire_area_cd,011,도봉,
fire_area_cd,012,동대문,
fire_area_cd,013,동작,
fire_area_cd,014,마포,
fire_area_cd,015,서대문,
fire_area_cd,016,서대문음압,
fire_area_cd,017,서음,
fire_area_cd,018,서초,
fire_area_cd,019,성동,
fire_area_cd,020,성북,
fire_area_cd,003,강동음압,
fire_area_cd,021,송파,
fire_area_cd,022,양천,
fire_area_cd,023,영등포,
fire_area_cd,024,용산,
fire_area_cd,025,은평,
fire_area_cd,026,종로,
fire_area_cd,027,중랑,
fire_area_cd,028,중부,
fire_vehicle_cd,001,지휘차량,
fire_vehicle_cd,002,구급차량,
fire_area_cd,004,강북,
fire_area_cd,005,강서,
fire_area_cd,006,강음,
fire_area_cd,007,관악,
fire_area_cd,008,광진,
fire_area_cd,009,구로,
fire_area_cd,010,노원,
